session_id,label,score,rank,is_top_label
1049,Governance & OneLake,0.52,1,True
1050,Data Warehouse,0.419,1,True
1070,Governance & OneLake,0.504,1,True
1077,Data Warehouse,0.368,1,True
1091,Data Warehouse,0.622,1,True
1143,Data Warehouse,0.39,1,True
1149,Data Warehouse,0.274,1,True
1154,Data Warehouse,0.311,1,True
1011,Data Warehouse,0.478,1,True
1011,Copilot & AI in Fabric,0.471,2,False
1022,Copilot & AI in Fabric,0.639,1,True
1023,Data Warehouse,0.385,1,True
1024,Data Warehouse,0.467,1,True
1024,Data Factory,0.439,2,False
1026,Copilot & AI in Fabric,0.355,1,True
1027,Governance & OneLake,0.416,1,True
1029,Copilot & AI in Fabric,0.416,1,True
1030,Power BI,0.425,1,True
1034,Copilot & AI in Fabric,0.635,1,True
1034,Data Warehouse,0.432,2,False
1041,Real-Time Intelligence,0.486,1,True
1041,Data Warehouse,0.449,2,False
1041,Copilot & AI in Fabric,0.44,3,False
1041,Power BI,0.422,4,False
1048,Governance & OneLake,0.43,1,True
1058,Copilot & AI in Fabric,0.408,1,True
1059,Real-Time Intelligence,0.705,1,True
1060,Copilot & AI in Fabric,0.465,1,True
1060,Data Warehouse,0.448,2,False
1063,Copilot & AI in Fabric,0.401,1,True
1065,Governance & OneLake,0.496,1,True
1065,Data Warehouse,0.448,2,False
1066,Data Factory,0.623,1,True
1071,Copilot & AI in Fabric,0.634,1,True
1071,Real-Time Intelligence,0.432,2,False
1080,Real-Time Intelligence,0.377,1,True
1082,Data Warehouse,0.407,1,True
1090,Real-Time Intelligence,0.64,1,True
1094,Governance & OneLake,0.519,1,True
1094,Data Warehouse,0.462,2,False
1099,Data Engineering,0.59,1,True
1099,Data Warehouse,0.425,2,False
1103,Data Warehouse,0.462,1,True
1117,Data Warehouse,0.571,1,True
1117,Data Engineering,0.48,2,False
1117,Data Factory,0.463,3,False
1118,Data Factory,0.407,1,True
1120,Copilot & AI in Fabric,0.498,1,True
1126,Data Warehouse,0.598,1,True
1131,Data Engineering,0.563,1,True
1131,Data Warehouse,0.541,2,False
1132,Data Warehouse,0.576,1,True
1132,Data Factory,0.561,2,False
1138,Copilot & AI in Fabric,0.36,1,True
1144,Data Factory,0.697,1,True
1144,Data Warehouse,0.491,2,False
1146,Data Factory,0.313,1,True
1150,Real-Time Intelligence,0.438,1,True
1156,Real-Time Intelligence,0.446,1,True
1014,Power BI,0.543,1,True
1021,Power BI,0.663,1,True
1032,Power BI,0.663,1,True
1043,Power BI,0.523,1,True
1046,Power BI,0.606,1,True
1064,Copilot & AI in Fabric,0.59,1,True
1064,Power BI,0.543,2,False
1075,Power BI,0.56,1,True
1075,Data Warehouse,0.423,2,False
1087,Copilot & AI in Fabric,0.608,1,True
1087,Power BI,0.56,2,False
1098,Power BI,0.539,1,True
1098,Data Engineering,0.486,2,False
1116,Power BI,0.615,1,True
1139,Data Warehouse,0.455,1,True
1148,Power BI,0.666,1,True
1148,Data Factory,0.425,2,False
