session_id,speaker_name,speaker_affiliation
1093,Sara Lammini Rodriguez,Microsoft
1094,Yaron Canari,Microsoft
1094,Daniel Hidalgo,Microsoft
1095,Niek de Win,KPN
1095,Mukul Kumar,Nexi Group
1096,Josef Pinkr,Adastra
1096,Martin Rys,Adastra
1097,Elena Drakulevska MVP,"MoonStory, Austria"
1098,Mathias Halkjaer,"MVP, Fellowmind"
1099,Balaji Sankaran,Microsoft
1099,Ramkrishna Vasudevan,Microsoft
1100,Aaron Merrill,Microsoft
1100,Cristian Petculescu,Microsoft
1101,Cristian Urbina Guerra,BSGroup Data Analytics AG
1102,William S. G. Olsen,Altro
1103,Kevin Pereira,GuideStone
1104,Grímur Sæmundsson,Crayon
1105,Isi Turner,Advancing Analytics
1106,Silvano Coriani,Microsoft
1106,Mehmet Arikkan,Microsoft
1107,Sean Lally,"The Lean Learning Professional, Ireland"
1108,Bob Ward,Microsoft
1108,Priya Sathy,Microsoft
1108,Erin Stellato,Microsoft
1108,Idris Motiwala,Microsoft
1109,Christian Wade,Microsoft
1109,Sara Vredevoogd,Microsoft
1109,Zoe Douglas,Microsoft
1109,Rui Romano,Microsoft
1110,Mohan Sankaran,Microsoft
1110,Shireen Bahadur,Microsoft
1110,Sid Jayadevan,Microsoft
1110,Ulrich Christ,Microsoft
1110,Wee Hyong Tok,Microsoft
1110,Faisal Mohamood,Microsoft
1111,Tino Tereshko,Microsoft
1111,Justyna Lucznik,Microsoft
1111,Bogdan Crivat,Microsoft
1111,Nellie Gustafsson,Microsoft
1112,Adi Regev,Microsoft
1112,Arthi Ramasubramanian Iyer,Microsoft
1112,Kasper de Jonge,Microsoft
1113,Johannes Kebeck,Microsoft
1113,Will Thompson,Microsoft
1113,Tessa Kloster,Microsoft
1113,Meital Taran-Gutman,Meital Taran-Gutman
1114,Tamer Farag,Microsoft
1114,Prashant Gutala,Microsoft
1114,Ariana Padilla Acosta,Microsoft
1114,Stephanie Chimerziri,Microsoft
1114,Nikolina Kvesic,Microsoft
1115,Shabnam Watson MVP,ABI Cube
1115,Jon Vöge,"MVP, Inspari"
1116,Brian DeLuca,The Reporting Hub
1117,Jenny Jiang,Microsoft
1117,Chris Webb,Microsoft
1118,Abhinav Jayanty,Quorum
1119,Filip Popović,Microsoft
1119,Jelena Djokovic,Microsoft
1120,Chafia Aouissi,Microsoft
1120,Jomit Vaghela,Microsoft
1121,Endika Pascual,WhereScape
1121,Jochen Abild,IT-Logix
1122,Marius Moscovici,Metric Insights
1123,Jan Hambach,ECE
1123,Steven Spencer,NHS Business Services Authority
1124,Farzad Sunavala,Microsoft
1125,Luis Aguilera,Microsoft
1126,Javier Villegas,"MVP, Mediterranean Shipping Company"
1126,Gaston Cruz,Slalom USA
1127,Samson Truong,RSM US LLP
1128,Zita Pelok,Zita Pelok
1130,Heidi Hasting,"MVP, Avanade"
1131,Steve Campbell,"MVP, Analytic Endeavors"
1132,Ulrich Christ,Microsoft
1132,Shireen Bahadur,Microsoft
1133,Lars Becker,Synalis
1134,Maurice Schurink,ABN-AMRO
1134,Aazath Raj Paramasivam,Apollo Hospitals
1135,Miquel Martin,Microsoft
1135,Clemens Vasters,Microsoft
1136,Joanne Wong,Microsoft
1136,Nandini Srinivasan,Microsoft
1137,Gabi Munster,Microsoft
1138,Chris Webb,Microsoft
1138,Ope Aladekomo,Microsoft
1139,Rishi Sapra,"MVP, Avanade"
1140,Santhosh Kumar Ravindran,Microsoft
1140,Ashit Gosalia,Microsoft
1141,Kristyna Ferris,"MVP, P3 Adaptive"
1142,Mark Hamilton,Microsoft
1142,Avrilia Floratou,Microsoft
1143,Just Blindbæk MVP,twoday kapacity
1143,Ásgeir Gunnarsson MVP,North Insights ApS.
1144,Chaithanya Pichuka,Microsoft
1144,Mark Kromer,Microsoft
1145,Traci Sewell,Sewells Consulting
1146,Gerd Saurer,Microsoft
1146,Teddy Bercovitz,Microsoft
1147,Dr. Dani Ljepava,Microsoft
1147,Neel Ball,Microsoft
1148,Rui Romano,Microsoft
1149,Frederik Declerck,Delaware
1150,Gary Hope,Microsoft
1151,Tillmann Eitelberg,"MVP, oh22information services GmbH"
1151,Ben Weissman MVP,Solisyon
1152,Grímur Sæmundsson,Crayon
1153,Sid Jayadevan,Microsoft
1153,Jeroen Luitwieler,Microsoft
1154,Shilpa Ranganathan,Microsoft
1154,Anton Fritz,Microsoft
1155,Margarita Naumova,"MVP, Inspirit"
1156,Stefan Starke,Cloudflight
1156,Thomas Hartinger,"Frauscher Sensor Technology, Austria"
